precision,recall,f1-score,support
0.88,0.84,0.86,1561.0
0.9,0.74,0.82,648.0
0.84,0.74,0.79,571.0
0.99,0.98,0.99,434.0
0.89,0.94,0.92,620.0
0.98,0.95,0.97,174.0
0.92,0.92,0.92,381.0
0.89,0.78,0.83,1580.0
0.86,0.79,0.82,1334.0
0.91,0.82,0.86,401.0
0.77,0.7,0.74,149.0
0.83,0.94,0.88,932.0
0.76,0.94,0.84,2310.0
0.99,0.93,0.96,175.0
0.96,0.94,0.95,1004.0
0.88,0.9,0.89,428.0
0.93,0.91,0.92,372.0
0.87,0.82,0.84,585.0
0.86,0.86,0.86,0.86
0.89,0.87,0.88,13659.0
0.87,0.86,0.86,13659.0
