precision,recall,f1-score,support
0.74,0.93,0.82,1561.0
0.82,0.79,0.8,648.0
0.93,0.63,0.75,571.0
0.99,0.98,0.99,434.0
0.93,0.9,0.91,620.0
0.97,0.97,0.97,174.0
0.84,0.91,0.87,381.0
0.91,0.74,0.82,1580.0
0.83,0.8,0.81,1334.0
0.88,0.79,0.83,401.0
0.85,0.68,0.75,149.0
0.87,0.89,0.88,932.0
0.8,0.86,0.83,2310.0
0.95,0.97,0.96,175.0
0.92,0.97,0.95,1004.0
0.93,0.84,0.88,428.0
0.89,0.93,0.91,372.0
0.86,0.81,0.83,585.0
0.85,0.85,0.85,0.85
0.88,0.85,0.86,13659.0
0.86,0.85,0.85,13659.0
